Client ID,Date,Time,Temparature,Pressure,Humidity,Wind Speed,Wind Direction,Rain
10101,2016-10-13,12:48:16,2747,091061,4265,1.0,150,111111
10101,2016-10-13,12:54:56,2747,091035,4275,7.14,40,111111
10101,2016-10-13,12:57:16,2747,091044,4258,8.83,335,111111
10101,2016-10-13,12:59:26,2747,091040,7253,9.38,330,111111
10101,2016-10-13,13:06:16,2747,091022,4252,6.24,185,111111
10101,2016-10-13,13:13:06,2747,091009,4191,7.07,100,111111
10101,2016-10-13,13:15:17,2747,091012,4091,5.83,120,111111
10101,2016-10-13,13:22:17,2747,091004,4077,5.56,130,111111
10101,2016-10-13,13:24:17,2747,091010,4084,8.60,305,111111
10101,2016-10-13,13:26:37,2747,091013,4040,9.27,285,111111
10101,2016-10-13,13:28:57,2747,091005,4057,8.83,350,111111
10101,2016-10-13,13:33:17,2747,090987,4104,7.07,85,111111
10101,2016-10-13,13:31:07,2747,090992,4091,3.74,120,111111
10101,2016-10-13,13:35:47,2747,090979,4138,8.42,215,111111
10101,2016-10-13,13:37:47,2747,090967,4138,4.69,215,111111
10101,2016-10-13,13:40:07,2747,090978,4128,9.32,325,111111
10101,2016-10-13,13:42:37,2747,090970,4131,6.85,40,111111
10101,2016-10-13,13:44:37,2747,090961,4111,5.83,260,111111
10101,2016-10-13,13:46:57,2747,090966,4097,7.74,270,111111
10101,2016-10-13,13:49:17,2747,090961,4104,9.89,85,111111
10101,2016-10-13,13:53:37,2747,090951,4124,2.23,225,111111
10101,2016-10-13,13:51:27,2747,090961,4111,3.46,260,111111
10101,2016-10-13,13:56:07,2747,090956,4121,2.0,150,111111
10101,2016-10-13,13:58:07,2747,090947,4144,5.91,5,111111
10101,2016-10-13,14:00:27,2747,090953,4158,7.28,355,111111
10101,2016-10-13,14:02:47,2640,090940,4161,9.48,225,111111
10101,2016-10-13,14:04:57,2747,090932,4161,7.07,70,111111
10101,2016-10-13,14:07:07,2747,090943,4131,6.92,40,111111
10101,2016-10-13,14:09:37,2747,090924,4064,5.91,165,111111
10101,2016-10-13,14:13:57,2747,090910,4053,9.69,250,111111
10101,2016-10-13,14:11:37,2747,090923,4037,7.34,210,111111
10101,2016-10-13,14:16:28,2747,090920,4077,4.12,130,111111
10101,2016-10-13,14:20:48,2747,090921,4111,4.47,260,111111
10101,2016-10-13,14:18:28,2747,090919,4087,7.14,20,111111
10101,2016-10-13,14:25:18,2747,090907,4097,7.87,270,111111
10101,2016-10-13,14:27:28,2747,090908,4131,7.21,40,111111
